protocol,port,description
TCP,7903,TNOS Secure DiaguardProtocol
UDP,7903,TNOS Secure DiaguardProtocol
TCP,7913,QuickObjects secure port
UDP,7913,QuickObjects secure port
TCP,7932,Tier 2 Data Resource Manager
UDP,7932,Tier 2 Data Resource Manager
TCP,7933,Tier 2 Business Rules Manager
UDP,7933,Tier 2 Business Rules Manager
TCP,7962,"""Encrypted"
UDP,7962,"""Encrypted"
TCP,7967,Supercell
UDP,7967,Supercell
TCP,7979,Micromuse-ncps
UDP,7979,Micromuse-ncps
TCP,7980,Quest Vista
UDP,7980,Quest Vista
TCP,7981,Spotlight on SQL Server Desktop Collect
UDP,7981,Reserved
TCP,7982,Spotlight on SQL Server Desktop Agent
UDP,7982,Spotlight on SQL Server Desktop Agent Discovery
TCP,7997,PUSH Notification Service
UDP,7997,Reserved
TCP,7998,Reserved
UDP,7998,USI Content Push Service
TCP,7999,iRDMI2
UDP,7999,iRDMI2
TCP,8000,iRDMI
UDP,8000,iRDMI
TCP,8001,VCOM Tunnel
UDP,8001,VCOM Tunnel
TCP,8002,Teradata ORDBMS
UDP,8002,Teradata ORDBMS
TCP,8003,Mulberry Connect Reporting Service
UDP,8003,Mulberry Connect Reporting Service
TCP,8004,Opensource Evolv Enterprise Platform P2P Network Node Connection Protocol
UDP,8004,Reserved
TCP,8005,MXI Generation II for z/OS
UDP,8005,MXI Generation II for z/OS
TCP,8006,World Programming analytics
UDP,8006,World Programming analytics discovery
TCP,8007,I/O oriented cluster computing software
UDP,8007,I/O oriented cluster computing software
TCP,8008,HTTP Alternate
UDP,8008,HTTP Alternate
TCP,8009,NVMe over Fabrics Discovery Service
UDP,8009,Reserved
TCP,8015,Configuration Cloud Service
UDP,8015,Reserved
TCP,8016,Beckhoff Automation Device Specification
UDP,8016,Reserved
TCP,8017,Reserved
UDP,8017,Cisco Cloudsec Dataplane Port Number
TCP,8019,QB DB Dynamic Port
UDP,8019,QB DB Dynamic Port
TCP,8020,Intuit Entitlement Service and Discovery
UDP,8020,Intuit Entitlement Service and Discovery
TCP,8021,Intuit Entitlement Client
UDP,8021,Intuit Entitlement Client
TCP,8022,oa-system
UDP,8022,oa-system
TCP,8023,ARCATrust vault API
UDP,8023,ARCATrust vault API
TCP,8025,CA Audit Distribution Agent
UDP,8025,CA Audit Distribution Agent
TCP,8026,CA Audit Distribution Server
UDP,8026,CA Audit Distribution Server
TCP,8027,peer tracker and data relay service
UDP,8027,peer tracker and data relay service
TCP,8032,ProEd
UDP,8032,ProEd
TCP,8033,MindPrint
UDP,8033,MindPrint
TCP,8034,.vantronix Management
UDP,8034,.vantronix Management
TCP,8040,Ampify Messaging Protocol
UDP,8040,Ampify Messaging Protocol
TCP,8041,Xcorpeon ASIC Carrier Ethernet Transport
UDP,8041,Xcorpeon ASIC Carrier Ethernet Transport
TCP,8042,FireScope Agent
UDP,8042,Reserved
TCP,8043,FireScope Server
UDP,8043,Reserved
TCP,8044,FireScope Management Interface
UDP,8044,Reserved
TCP,8051,Rocrail Client Service
UDP,8051,Reserved
TCP,8052,Senomix Timesheets Server
UDP,8052,Senomix Timesheets Server
TCP,8053,Senomix Timesheets Client [1 year assignment]
UDP,8053,Senomix Timesheets Client [1 year assignment]
TCP,8054,Senomix Timesheets Server [1 year assignment]
UDP,8054,Senomix Timesheets Server [1 year assignment]
TCP,8055,Senomix Timesheets Server [1 year assignment]
UDP,8055,Senomix Timesheets Server [1 year assignment]
TCP,8056,Senomix Timesheets Server [1 year assignment]
UDP,8056,Senomix Timesheets Server [1 year assignment]
TCP,8057,Senomix Timesheets Client [1 year assignment]
UDP,8057,Senomix Timesheets Client [1 year assignment]
TCP,8058,Senomix Timesheets Client [1 year assignment]
UDP,8058,Senomix Timesheets Client [1 year assignment]
TCP,8059,Senomix Timesheets Client [1 year assignment]
UDP,8059,Senomix Timesheets Client [1 year assignment]
TCP,8060,Reserved
UDP,8060,Asymmetric Extended Route Optimization (AERO)
TCP,8061,Nikatron Device Protocol
UDP,8061,Reserved
TCP,8066,Toad BI Application Server
UDP,8066,Reserved
TCP,8067,Infinidat async replication
UDP,8067,Reserved
TCP,8070,Oracle Unified Communication Suite's Indexed Search Converter
UDP,8070,Reserved
TCP,8074,Gadu-Gadu
UDP,8074,Gadu-Gadu
TCP,8077,Mles is a client-server data distribution protocol targeted to serve as a lightweight and reliable distributed publish/subscribe database service.
UDP,8077,Reserved
TCP,8080,HTTP Alternate (see port 80)
UDP,8080,HTTP Alternate (see port 80)
TCP,8081,Sun Proxy Admin Service
UDP,8081,Sun Proxy Admin Service
TCP,8082,Utilistor (Client)
UDP,8082,Utilistor (Client)
TCP,8083,Utilistor (Server)
UDP,8083,Utilistor (Server)
TCP,8084,Snarl Network Protocol over HTTP
UDP,8084,Reserved
TCP,8086,Distributed SCADA Networking Rendezvous Port
UDP,8086,Distributed SCADA Networking Rendezvous Port
TCP,8087,Simplify Media SPP Protocol
UDP,8087,Simplify Media SPP Protocol
TCP,8088,Radan HTTP
UDP,8088,Radan HTTP
TCP,8090,Vehicle to station messaging
UDP,8090,Reserved
TCP,8091,Jam Link Framework
UDP,8091,Reserved
TCP,8097,SAC Port Id
UDP,8097,SAC Port Id
TCP,8100,Xprint Server
UDP,8100,Xprint Server
TCP,8101,Logical Domains Migration
UDP,8101,Reserved
TCP,8102,Oracle Kernel zones migration server
UDP,8102,Reserved
TCP,8111,Reserved
UDP,8111,Skynetflow network services
TCP,8115,MTL8000 Matrix
UDP,8115,MTL8000 Matrix
TCP,8116,Check Point Clustering
UDP,8116,Check Point Clustering
TCP,8117,Purity replication clustering and remote management
UDP,8117,Reserved
TCP,8118,Privoxy HTTP proxy
UDP,8118,Privoxy HTTP proxy
TCP,8121,Apollo Data Port
UDP,8121,Apollo Data Port
TCP,8122,Apollo Admin Port
UDP,8122,Apollo Admin Port
TCP,8128,PayCash Online Protocol
UDP,8128,PayCash Online Protocol
TCP,8129,PayCash Wallet-Browser
UDP,8129,PayCash Wallet-Browser
TCP,8130,INDIGO-VRMI
UDP,8130,INDIGO-VRMI
TCP,8131,INDIGO-VBCP
UDP,8131,INDIGO-VBCP
TCP,8132,dbabble
UDP,8132,dbabble
TCP,8140,The Puppet master service
UDP,8140,Reserved
TCP,8148,i-SDD file transfer
UDP,8148,i-SDD file transfer
TCP,8149,Reserved
UDP,8149,Edge of Reality game data
TCP,8153,QuantaStor Management Interface
UDP,8153,Reserved
TCP,8160,Patrol
UDP,8160,Patrol
TCP,8161,Patrol SNMP
UDP,8161,Patrol SNMP
TCP,8162,LPAR2RRD client server communication
UDP,8162,Reserved
TCP,8181,Intermapper network management system
UDP,8181,Reserved
TCP,8182,VMware Fault Domain Manager
UDP,8182,VMware Fault Domain Manager
TCP,8183,ProRemote
UDP,8183,Reserved
TCP,8184,Remote iTach Connection
UDP,8184,Remote iTach Connection
TCP,8190,Generic control plane for RPHY
UDP,8190,Reserved
TCP,8191,Limner Pressure
UDP,8191,Reserved
TCP,8192,SpyTech Phone Service
UDP,8192,SpyTech Phone Service
TCP,8194,Bloomberg data API
UDP,8194,Bloomberg data API
TCP,8195,Bloomberg feed
UDP,8195,Bloomberg feed
TCP,8199,VVR DATA
UDP,8199,VVR DATA
TCP,8200,TRIVNET
UDP,8200,TRIVNET
TCP,8201,TRIVNET
UDP,8201,TRIVNET
TCP,8202,Reserved
UDP,8202,Audio+Ethernet Standard Open Protocol
TCP,8204,LM Perfworks
UDP,8204,LM Perfworks
TCP,8205,LM Instmgr
UDP,8205,LM Instmgr
TCP,8206,LM Dta
UDP,8206,LM Dta
TCP,8207,LM SServer
UDP,8207,LM SServer
TCP,8208,LM Webwatcher
UDP,8208,LM Webwatcher
TCP,8211,Reserved
UDP,8211,Aruba Networks AP management
TCP,8230,RexecJ Server
UDP,8230,RexecJ Server
TCP,8231,Reserved
UDP,8231,HNCP
TCP,8232,Reserved
UDP,8232,HNCP over DTLS
TCP,8243,Synapse Non Blocking HTTPS
UDP,8243,Synapse Non Blocking HTTPS
TCP,8266,Reserved
UDP,8266,ESPeasy peer-2-peer communication
TCP,8270,Robot Framework Remote Library Interface
UDP,8270,Reserved
TCP,8276,Microsoft Connected Cache
UDP,8276,Microsoft Connected Cache
TCP,8280,Synapse Non Blocking HTTP
UDP,8280,Synapse Non Blocking HTTP
TCP,8282,Libelle EnterpriseBus
UDP,8282,Libelle EnterpriseBus discovery
SCTP,8282,Reserved
DCCP,8282,Reserved
TCP,8292,Bloomberg professional
UDP,8292,Bloomberg professional
TCP,8293,Hiperscan Identification Service
UDP,8293,Reserved
TCP,8294,Bloomberg intelligent client
UDP,8294,Bloomberg intelligent client
TCP,8300,Transport Management Interface
UDP,8300,Transport Management Interface
TCP,8301,Amberon PPC/PPS
UDP,8301,Amberon PPC/PPS
TCP,8313,Hub Open Network
UDP,8313,Reserved
TCP,8320,Thin(ium) Network Protocol
UDP,8320,Thin(ium) Network Protocol
TCP,8321,Thin(ium) Network Protocol
UDP,8321,Thin(ium) Network Protocol
TCP,8322,Garmin Marine
UDP,8322,Garmin Marine
TCP,8351,Server Find
UDP,8351,Server Find
TCP,8376,Cruise ENUM
UDP,8376,Cruise ENUM
TCP,8377,Cruise SWROUTE
UDP,8377,Cruise SWROUTE
TCP,8378,Cruise CONFIG
UDP,8378,Cruise CONFIG
TCP,8379,Cruise DIAGS
UDP,8379,Cruise DIAGS
TCP,8380,Cruise UPDATE
UDP,8380,Cruise UPDATE
TCP,8383,M2m Services
UDP,8383,M2m Services
UDP,8384,Marathon Transport Protocol
TCP,8384,Reserved
TCP,8400,cvd
UDP,8400,cvd
TCP,8401,sabarsd
UDP,8401,sabarsd
TCP,8402,abarsd
UDP,8402,abarsd
TCP,8403,admind
UDP,8403,admind
TCP,8404,SuperVault Cloud
UDP,8404,Reserved
TCP,8405,SuperVault Backup
UDP,8405,Reserved
TCP,8415,Delphix Session Protocol
UDP,8415,Reserved
TCP,8416,eSpeech Session Protocol
UDP,8416,eSpeech Session Protocol
TCP,8417,eSpeech RTP Protocol
UDP,8417,eSpeech RTP Protocol
TCP,8423,Aristech text-to-speech server
UDP,8423,Reserved
TCP,8432,PostgreSQL Backup
UDP,8432,Reserved
TCP,8433,Reserved
UDP,8433,Non Persistent Desktop and Application Streaming
TCP,8442,CyBro A-bus Protocol
UDP,8442,CyBro A-bus Protocol
TCP,8443,PCsync HTTPS
UDP,8443,PCsync HTTPS
TCP,8444,PCsync HTTP
UDP,8444,PCsync HTTP
TCP,8445,Port for copy peer sync feature
UDP,8445,Port for copy discovery
TCP,8448,Matrix Federation Protocol
UDP,8448,Reserved
TCP,8450,npmp
UDP,8450,npmp
TCP,8457,Nexenta Management GUI
UDP,8457,Reserved
TCP,8470,Cisco Address Validation Protocol
UDP,8470,Reserved
TCP,8471,PIM over Reliable Transport
SCTP,8471,PIM over Reliable Transport
UDP,8471,Reserved
TCP,8472,Overlay Transport Virtualization (OTV)
UDP,8472,Overlay Transport Virtualization (OTV)
TCP,8473,Virtual Point to Point
UDP,8473,Virtual Point to Point
TCP,8474,AquaMinds NoteShare
UDP,8474,AquaMinds NoteShare
TCP,8500,Flight Message Transfer Protocol
UDP,8500,Flight Message Transfer Protocol
TCP,8501,CYTEL Message Transfer Management
UDP,8501,CYTEL Message Transfer Audio and Video
TCP,8502,FTN Message Transfer Protocol
UDP,8502,Reserved
UDP,8503,MPLS LSP Self-Ping
TCP,8503,Reserved
TCP,8554,RTSP Alternate (see port 554)
UDP,8554,RTSP Alternate (see port 554)
TCP,8555,SYMAX D-FENCE
UDP,8555,SYMAX D-FENCE
TCP,8567,DOF Tunneling Protocol
UDP,8567,DOF Tunneling Protocol
TCP,8600,Surveillance Data
UDP,8600,Surveillance Data
TCP,8609,Reserved
UDP,8609,Canon Compact Printer Protocol Discovery
TCP,8610,Canon MFNP Service
UDP,8610,Canon MFNP Service
TCP,8611,Canon BJNP Port 1
UDP,8611,Canon BJNP Port 1
TCP,8612,Canon BJNP Port 2
UDP,8612,Canon BJNP Port 2
TCP,8613,Canon BJNP Port 3
UDP,8613,Canon BJNP Port 3
TCP,8614,Canon BJNP Port 4
UDP,8614,Canon BJNP Port 4
TCP,8615,Imink Service Control
UDP,8615,Reserved
TCP,8665,Monetra
UDP,8665,Reserved
TCP,8666,Monetra Administrative Access
UDP,8666,Reserved
TCP,8668,Spartan management
UDP,8668,Reserved
TCP,8675,Motorola Solutions Customer Programming Software for Radio Management
UDP,8675,Motorola Solutions Customer Programming Software for Radio Management Discovery
TCP,8686,Sun App Server - JMX/RMI
UDP,8686,Sun App Server - JMX/RMI
TCP,8688,OpenRemote Controller HTTP/REST
UDP,8688,Reserved
TCP,8699,VNYX Primary Port
UDP,8699,Reserved
TCP,8710,gRPC for SEMI Standards implementations
UDP,8710,Reserved
TCP,8711,Nuance Voice Control
UDP,8711,Reserved
TCP,8732,Reserved
UDP,8732,DASGIP Net Services
TCP,8733,iBus
UDP,8733,iBus
TCP,8750,DEY Storage Key Negotiation
UDP,8750,Reserved
TCP,8763,MC-APPSERVER
UDP,8763,MC-APPSERVER
TCP,8764,OPENQUEUE
UDP,8764,OPENQUEUE
TCP,8765,Ultraseek HTTP
UDP,8765,Ultraseek HTTP
TCP,8766,Agilent Connectivity Service
UDP,8766,Agilent Connectivity Service
TCP,8767,Online mobile multiplayer game
UDP,8767,Reserved
TCP,8768,Sandpolis Server
UDP,8768,Reserved
TCP,8769,Okta MultiPlatform Access Mgmt for Cloud Svcs
UDP,8769,Reserved
TCP,8770,Digital Photo Access Protocol (iPhoto)
UDP,8770,Digital Photo Access Protocol (iPhoto)
TCP,8778,Stonebranch Universal Enterprise Controller
UDP,8778,Reserved
TCP,8786,Message Client
UDP,8786,Message Client
TCP,8787,Message Server
UDP,8787,Message Server
TCP,8793,Accedian Performance Measurement
UDP,8793,Accedian Performance Measurement
TCP,8800,Sun Web Server Admin Service
UDP,8800,Sun Web Server Admin Service
TCP,8804,truecm
UDP,8804,truecm
TCP,8805,Reserved
UDP,8805,Destination Port number for PFCP
TCP,8807,Reserved
UDP,8807,HES-CLIP Interoperability protocol
TCP,8808,Reserved
UDP,8808,STATSports Broadcast Service
TCP,8809,Reserved
UDP,8809,MCPTT Off-Network Protocol (MONP)
TCP,8873,dxspider linking protocol
UDP,8873,dxspider linking protocol
TCP,8880,CDDBP
UDP,8880,CDDBP
TCP,8881,Galaxy4D Online Game Engine
UDP,8881,Reserved
TCP,8883,Secure MQTT
UDP,8883,Secure MQTT
TCP,8888,NewsEDGE server TCP (TCP 1)
UDP,8888,NewsEDGE server UDP (UDP 1)
TCP,8889,Desktop Data TCP 1
UDP,8889,NewsEDGE server broadcast
TCP,8890,Desktop Data TCP 2
UDP,8890,NewsEDGE client broadcast
TCP,8891,Desktop Data TCP 3: NESS application
UDP,8891,Desktop Data UDP 3: NESS application
TCP,8892,Desktop Data TCP 4: FARM product
UDP,8892,Desktop Data UDP 4: FARM product
TCP,8893,Desktop Data TCP 5: NewsEDGE/Web application
UDP,8893,Desktop Data UDP 5: NewsEDGE/Web application
TCP,8894,Desktop Data TCP 6: COAL application
UDP,8894,Desktop Data UDP 6: COAL application
TCP,8899,ospf-lite
UDP,8899,ospf-lite
TCP,8900,JMB-CDS 1
UDP,8900,JMB-CDS 1
TCP,8901,JMB-CDS 2
UDP,8901,JMB-CDS 2
TCP,8908,WFA Device Provisioning Protocol
UDP,8908,Reserved
TCP,8910,manyone-http
UDP,8910,manyone-http
TCP,8911,manyone-xml
UDP,8911,manyone-xml
TCP,8912,Windows Client Backup
UDP,8912,Windows Client Backup
TCP,8913,Dragonfly System Service
UDP,8913,Dragonfly System Service
TCP,8937,Transaction Warehouse Data Service
UDP,8937,Reserved
TCP,8953,unbound dns nameserver control
UDP,8953,Reserved
TCP,8954,Cumulus Admin Port
UDP,8954,Cumulus Admin Port
TCP,8980,Network of Devices Provider
UDP,8980,Network of Devices Provider
UDP,8981,Network of Devices Client
TCP,8981,Reserved
TCP,8989,Sun Web Server SSL Admin Service
UDP,8989,Sun Web Server SSL Admin Service
TCP,8990,webmail HTTP service
UDP,8990,webmail HTTP service
TCP,8991,webmail HTTPS service
UDP,8991,webmail HTTPS service
TCP,8997,Oracle Messaging Server Event Notification Service
UDP,8997,Reserved
TCP,8998,Canto RoboFlow Control
UDP,8998,Reserved
TCP,8999,Brodos Crypto Trade Protocol
UDP,8999,Brodos Crypto Trade Protocol
TCP,9000,CSlistener
UDP,9000,CSlistener
TCP,9001,ETL Service Manager
UDP,9001,ETL Service Manager
TCP,9002,DynamID authentication
UDP,9002,DynamID authentication
TCP,9005,Golem Inter-System RPC
UDP,9005,Reserved
TCP,9007,Reserved
UDP,9007,Open Grid Services Client
TCP,9008,Open Grid Services Server
UDP,9008,Reserved
TCP,9009,Pichat Server
UDP,9009,Pichat Server
TCP,9010,Secure Data Replicator Protocol
UDP,9010,Reserved
TCP,9011,Reserved
UDP,9011,D-Star Routing digital voice+data for amateur radio
TCP,9020,TAMBORA
UDP,9020,TAMBORA
TCP,9021,Pangolin Identification
UDP,9021,Pangolin Identification
TCP,9022,PrivateArk Remote Agent
UDP,9022,PrivateArk Remote Agent
TCP,9023,Secure Web Access - 1
UDP,9023,Secure Web Access - 1
TCP,9024,Secure Web Access - 2
UDP,9024,Secure Web Access - 2
TCP,9025,Secure Web Access - 3
UDP,9025,Secure Web Access - 3
TCP,9026,Secure Web Access - 4
UDP,9026,Secure Web Access - 4
TCP,9050,Versiera Agent Listener
UDP,9050,Reserved
TCP,9051,Fusion-io Central Manager Service
UDP,9051,Reserved
TCP,9060,CardWeb request-response I/O exchange
UDP,9060,CardWeb realtime device data
TCP,9080,Groove GLRPC
UDP,9080,Groove GLRPC
TCP,9081,Reserved
UDP,9081,Required for Adaptive Quality of Service
SCTP,9082,LCS Application Protocol
TCP,9083,EMC PowerPath Mgmt Service
UDP,9083,Reserved
TCP,9084,IBM AURORA Performance Visualizer
UDP,9084,IBM AURORA Performance Visualizer
SCTP,9084,IBM AURORA Performance Visualizer
TCP,9085,IBM Remote System Console
UDP,9085,IBM Remote System Console
TCP,9086,Vesa Net2Display
UDP,9086,Vesa Net2Display
TCP,9087,Classic Data Server
UDP,9087,Classic Data Server
TCP,9088,IBM Informix SQL Interface
UDP,9088,IBM Informix SQL Interface
TCP,9089,IBM Informix SQL Interface - Encrypted
UDP,9089,IBM Informix SQL Interface - Encrypted
TCP,9090,WebSM
UDP,9090,WebSM
TCP,9091,xmltec-xmlmail
UDP,9091,xmltec-xmlmail
TCP,9092,Xml-Ipc Server Reg
UDP,9092,Xml-Ipc Server Reg
TCP,9093,Copycat database replication service
UDP,9093,Reserved
TCP,9100,Printer PDL Data Stream
UDP,9100,Printer PDL Data Stream
TCP,9101,Bacula Director
UDP,9101,Bacula Director
TCP,9102,Bacula File Daemon
UDP,9102,Bacula File Daemon
TCP,9103,Bacula Storage Daemon
UDP,9103,Bacula Storage Daemon
TCP,9104,PeerWire
UDP,9104,PeerWire
TCP,9105,Xadmin Control Service
UDP,9105,Xadmin Control Service
TCP,9106,Astergate Control Service
UDP,9106,Astergate Discovery Service
TCP,9107,AstergateFax Control Service
UDP,9107,Reserved
TCP,9111,"""Multiple Purpose"
UDP,9111,"""Multiple Purpose"
TCP,9119,MXit Instant Messaging
UDP,9119,MXit Instant Messaging
TCP,9122,Global Relay compliant mobile instant messaging protocol
UDP,9122,Reserved
TCP,9123,Global Relay compliant instant messaging protocol
UDP,9123,Reserved
TCP,9131,Dynamic Device Discovery
UDP,9131,Dynamic Device Discovery
TCP,9160,apani1
UDP,9160,apani1
TCP,9161,apani2
UDP,9161,apani2
TCP,9162,apani3
UDP,9162,apani3
TCP,9163,apani4
UDP,9163,apani4
TCP,9164,apani5
UDP,9164,apani5
TCP,9191,Sun AppSvr JPDA
UDP,9191,Sun AppSvr JPDA
TCP,9200,WAP connectionless session service
UDP,9200,WAP connectionless session service
TCP,9201,WAP session service
UDP,9201,WAP session service
TCP,9202,WAP secure connectionless session service
UDP,9202,WAP secure connectionless session service
TCP,9203,WAP secure session service
UDP,9203,WAP secure session service
TCP,9204,WAP vCard
UDP,9204,WAP vCard
TCP,9205,WAP vCal
UDP,9205,WAP vCal
TCP,9206,WAP vCard Secure
UDP,9206,WAP vCard Secure
TCP,9207,WAP vCal Secure
UDP,9207,WAP vCal Secure
TCP,9208,rjcdb vCard
UDP,9208,rjcdb vCard
TCP,9209,ALMobile System Service
UDP,9209,ALMobile System Service
TCP,9210,OMA Mobile Location Protocol
UDP,9210,OMA Mobile Location Protocol
TCP,9211,OMA Mobile Location Protocol Secure
UDP,9211,OMA Mobile Location Protocol Secure
TCP,9212,Server View dbms access
UDP,9212,Server View dbms access
TCP,9213,ServerStart RemoteControl
UDP,9213,ServerStart RemoteControl
TCP,9214,IPDC ESG BootstrapService
UDP,9214,IPDC ESG BootstrapService
TCP,9215,Integrated Setup and Install Service
UDP,9215,Integrated Setup and Install Service
TCP,9216,Aionex Communication Management Engine
UDP,9216,Aionex Communication Management Engine
TCP,9217,FSC Communication Port
UDP,9217,FSC Communication Port
TCP,9222,QSC Team Coherence
UDP,9222,QSC Team Coherence
TCP,9255,Manager On Network
UDP,9255,Manager On Network
UDP,9277,GPS Data transmitted from train to ground network
TCP,9277,Reserved
TCP,9278,Pegasus GPS Platform
UDP,9278,Pegasus GPS Platform
TCP,9279,Pegaus GPS System Control Interface
UDP,9279,Pegaus GPS System Control Interface
TCP,9280,Predicted GPS
UDP,9280,Predicted GPS
TCP,9281,SofaWare transport port 1
UDP,9281,SofaWare transport port 1
TCP,9282,SofaWare transport port 2
UDP,9282,SofaWare transport port 2
TCP,9283,CallWaveIAM
UDP,9283,CallWaveIAM
TCP,9284,VERITAS Information Serve
UDP,9284,VERITAS Information Serve
TCP,9285,N2H2 Filter Service Port
UDP,9285,N2H2 Filter Service Port
TCP,9286,Reserved
UDP,9286,n2 monitoring receiver
TCP,9287,Cumulus
UDP,9287,Cumulus
TCP,9292,ArmTech Daemon
UDP,9292,ArmTech Daemon
TCP,9293,StorView Client
UDP,9293,StorView Client
TCP,9294,ARMCenter http Service
UDP,9294,ARMCenter http Service
TCP,9295,ARMCenter https Service
UDP,9295,ARMCenter https Service
TCP,9300,Virtual Racing Service
UDP,9300,Virtual Racing Service
TCP,9306,Sphinx search server (MySQL listener)
UDP,9306,Reserved
TCP,9310,SAP Message Server
UDP,9310,Reserved
TCP,9312,Sphinx search server
UDP,9312,Reserved
TCP,9318,PKIX TimeStamp over TLS
UDP,9318,PKIX TimeStamp over TLS
TCP,9321,guibase
UDP,9321,guibase
TCP,9339,gRPC Network Mgmt/Operations Interface
UDP,9339,Reserved
TCP,9340,gRPC Routing Information Base Interface
UDP,9340,Reserved
TCP,9343,MpIdcMgr
UDP,9343,MpIdcMgr
TCP,9344,Mphlpdmc
UDP,9344,Mphlpdmc
TCP,9345,Rancher Agent
UDP,9345,Reserved
TCP,9346,C Tech Licensing
UDP,9346,C Tech Licensing
TCP,9374,fjdmimgr
UDP,9374,fjdmimgr
TCP,9380,Brivs! Open Extensible Protocol
UDP,9380,Brivs! Open Extensible Protocol
TCP,9387,D2D Configuration Service
UDP,9387,Reserved
TCP,9388,D2D Data Transfer Service
UDP,9388,Reserved
TCP,9389,Active Directory Web Services
UDP,9389,Reserved
TCP,9390,OpenVAS Transfer Protocol
UDP,9390,Reserved
TCP,9396,fjinvmgr
UDP,9396,fjinvmgr
TCP,9397,MpIdcAgt
UDP,9397,MpIdcAgt
TCP,9400,Samsung Twain for Network Server
UDP,9400,Samsung Twain for Network Server
TCP,9401,Samsung Twain for Network Client
UDP,9401,Samsung Twain for Network Client
TCP,9402,Samsung PC2FAX for Network Server
UDP,9402,Samsung PC2FAX for Network Server
TCP,9418,git pack transfer service
UDP,9418,git pack transfer service
TCP,9443,WSO2 Tungsten HTTPS
UDP,9443,WSO2 Tungsten HTTPS
TCP,9444,WSO2 ESB Administration Console HTTPS
UDP,9444,WSO2 ESB Administration Console HTTPS
TCP,9445,MindArray Systems Console Agent
UDP,9445,Reserved
TCP,9450,Sentinel Keys Server
UDP,9450,Sentinel Keys Server
TCP,9500,ismserver
UDP,9500,ismserver
TCP,9522,Reserved
UDP,9522,SMA Speedwire
TCP,9535,Management Suite Remote Control
UDP,9535,Management Suite Remote Control
TCP,9536,Surveillance buffering function
UDP,9536,Surveillance buffering function
TCP,9555,Trispen Secure Remote Access
UDP,9555,Trispen Secure Remote Access
TCP,9559,P4Runtime gRPC Service
UDP,9559,Reserved
TCP,9592,LANDesk Gateway
UDP,9592,LANDesk Gateway
TCP,9593,LANDesk Management Agent (cba8)
UDP,9593,LANDesk Management Agent (cba8)
TCP,9594,Message System
UDP,9594,Message System
TCP,9595,Ping Discovery Service
UDP,9595,Ping Discovery Service
TCP,9596,Mercury Discovery
UDP,9596,Mercury Discovery
TCP,9597,PD Administration
UDP,9597,PD Administration
TCP,9598,Very Simple Ctrl Protocol
UDP,9598,Very Simple Ctrl Protocol
TCP,9599,Robix
UDP,9599,Robix
TCP,9600,MICROMUSE-NCPW
UDP,9600,MICROMUSE-NCPW
TCP,9612,StreamComm User Directory
UDP,9612,StreamComm User Directory
TCP,9614,iADT Protocol over TLS
UDP,9614,Reserved
TCP,9616,eRunbook Agent
UDP,9616,Reserved
TCP,9617,eRunbook Server
UDP,9617,Reserved
TCP,9618,Condor Collector Service
UDP,9618,Condor Collector Service
TCP,9628,ODBC Pathway Service
UDP,9628,ODBC Pathway Service
TCP,9629,UniPort SSO Controller
UDP,9629,UniPort SSO Controller
TCP,9630,Peovica Controller
UDP,9630,Reserved
TCP,9631,Peovica Collector
UDP,9631,Reserved
TCP,9632,Reserved
UDP,9632,Mobile-C Communications
TCP,9640,ProQueSys Flows Service
UDP,9640,Reserved
TCP,9666,Zoom Control Panel Game Server Management
UDP,9666,Reserved
TCP,9667,Cross-platform Music Multiplexing System
UDP,9667,Cross-platform Music Multiplexing System
TCP,9668,tec5 Spectral Device Control Protocol
UDP,9668,tec5 Spectral Device Control Protocol
TCP,9694,T-Mobile Client Wakeup Message
UDP,9694,T-Mobile Client Wakeup Message
TCP,9695,Content Centric Networking
UDP,9695,Content Centric Networking
TCP,9700,Board M.I.T. Service
UDP,9700,Board M.I.T. Service
TCP,9747,L5NAS Parallel Channel
UDP,9747,L5NAS Parallel Channel
TCP,9750,Board M.I.T. Synchronous Collaboration
UDP,9750,Board M.I.T. Synchronous Collaboration
TCP,9753,rasadv
UDP,9753,rasadv
TCP,9762,WSO2 Tungsten HTTP
UDP,9762,WSO2 Tungsten HTTP
TCP,9800,WebDav Source Port
UDP,9800,WebDav Source Port
TCP,9801,Sakura Script Transfer Protocol-2
UDP,9801,Sakura Script Transfer Protocol-2
TCP,9802,WebDAV Source TLS/SSL
UDP,9802,WebDAV Source TLS/SSL
TCP,9875,Session Announcement v1
UDP,9875,Session Announcement v1
TCP,9876,Session Director
TCP,9877,The X.510 wrapper protocol
UDP,9877,Reserved
UDP,9878,The KX509 Kerberized Certificate Issuance Protocol in Use in 2012
TCP,9878,Reserved
TCP,9888,CYBORG Systems
UDP,9888,CYBORG Systems
TCP,9889,Port for Cable network related data proxy or repeater
UDP,9889,Port for Cable network related data proxy or repeater
TCP,9898,MonkeyCom
UDP,9898,MonkeyCom
TCP,9899,Reserved
UDP,9899,SCTP TUNNELING
TCP,9900,IUA
UDP,9900,IUA
SCTP,9900,IUA
UDP,9901,enrp server channel
SCTP,9901,enrp server channel
SCTP,9902,enrp/tls server channel
TCP,9903,Reserved
UDP,9903,Multicast Ping Protocol
TCP,9909,domaintime
UDP,9909,domaintime
TCP,9911,SYPECom Transport Protocol
UDP,9911,SYPECom Transport Protocol
TCP,9925,XYBRID Cloud
